X	Y	Vref	Wref
-2.79	1.83	0.2	0
-2.79	1.81	0.2	0
-2.79	1.79	0.2	0
-2.79	1.77	0.2	0
-2.79	1.75	0.2	0
-2.79	1.73	0.2	0
-2.79	1.71	0.2	0
-2.79	1.69	0.2	0
-2.79	1.67	0.2	0
-2.79	1.65	0.2	0
-2.79	1.63	0.2	0
-2.79	1.61	0.2	0
-2.79	1.59	0.2	0
-2.79	1.57	0.2	0
-2.79	1.55	0.2	0
-2.79	1.53	0.2	0
-2.79	1.51	0.2	0
-2.79	1.49	0.2	0
-2.79	1.47	0.2	0
-2.79	1.45	0.2	0
-2.79	1.43	0.2	0
-2.79	1.41	0.2	0
-2.79	1.39	0.2	0
-2.79	1.37	0.2	0
-2.79	1.35	0.2	0
-2.79	1.33	0.2	0
-2.79	1.31	0.2	0
-2.79	1.29	0.2	0
-2.79	1.27	0.2	0
-2.79	1.25	0.2	0
-2.79	1.23	0.2	0
-2.79	1.21	0.2	0
-2.79	1.19	0.2	0
-2.79	1.17	0.2	0
-2.79	1.15	0.2	0
-2.79	1.13	0.2	0
-2.79	1.11	0.2	0
-2.79	1.09	0.2	0
-2.79	1.07	0.2	0
-2.79	1.05	0.2	0
-2.79	1.03	0.2	0
-2.79	1.01	0.2	0
-2.79	0.99	0.2	0
-2.79	0.97	0.2	0
-2.79	0.95	0.2	0
-2.79	0.93	0.2	0
-2.79	0.91	0.2	0
-2.79	0.89	0.2	0
-2.79	0.87	0.2	0
-2.79	0.85	0.2	0
-2.79	0.83	0.2	0
-2.79	0.81	0.2	0
-2.79	0.79	0.2	0
-2.79	0.77	0.2	0
-2.79	0.75	0.2	0
-2.79	0.73	0.2	0
-2.79	0.71	0.2	0
-2.79	0.69	0.2	0
-2.79	0.67	0.2	0
-2.79	0.65	0.2	0
-2.79	0.63	0.2	0
-2.79	0.62	0.199989	0.4819
-2.789518221	0.60000889	0.199989	0.4819
-2.788074002	0.580064195	0.199989	0.4819
-2.785670698	0.560212225	0.199989	0.4819
-2.782313887	0.540499071	0.199989	0.4819
-2.778011363	0.520970505	0.199989	0.4819
-2.772773118	0.501671868	0.199989	0.4819
-2.766611312	0.482647968	0.199989	0.4819
-2.759540252	0.463942976	0.199989	0.4819
-2.751576356	0.445600322	0.199989	0.4819
-2.742738116	0.427662593	0.199989	0.4819
-2.733046051	0.410171438	0.199989	0.4819
-2.722522666	0.393167469	0.199989	0.4819
-2.711192393	0.376690166	0.199989	0.4819
-2.699081539	0.360777786	0.199989	0.4819
-2.686218224	0.345467275	0.199989	0.4819
