X       Y
2.775	1.635
2.755	1.635
2.735	1.635
2.715	1.635
2.695	1.635
2.675	1.635
2.655	1.635
2.635	1.635
2.615	1.635
2.595	1.635
2.575	1.635
2.555	1.635
2.535	1.635
2.515	1.635
2.495	1.635
2.475	1.635
2.455	1.635
2.435	1.635
2.415	1.635
2.395	1.635
2.375	1.635
2.355	1.635
2.335	1.635
2.315	1.635
2.295	1.635
2.275	1.635
2.255	1.635
2.235	1.635
2.215	1.635
2.195	1.635
2.175	1.635
2.155	1.635
2.135	1.635
2.115	1.635
2.095	1.635
2.075	1.635
2.055	1.635
2.035	1.635
2.015	1.635
1.995	1.635
1.975	1.635
1.955	1.635
1.935	1.635
1.915	1.635
1.895	1.635
1.875	1.635
1.855	1.635
1.835	1.635
1.815	1.635
1.795	1.635
1.775	1.635
1.755	1.635
1.735	1.635
1.715	1.635
1.695	1.635
1.675	1.635
1.655	1.635
1.635	1.635
1.615	1.635
1.595	1.635
1.575	1.635
1.555	1.635
1.535	1.635
1.515	1.635
1.495	1.635
1.475	1.635
1.455	1.635
1.435	1.635
1.415	1.635
1.395	1.635
1.375	1.635
1.355	1.635
1.335	1.635
1.315	1.635
1.295	1.635
1.275	1.635
1.255	1.635
1.235	1.635
1.225	1.635
1.2050088896	1.634518221
1.185064195	1.6330740024
1.1652122245	1.6306706976
1.1454990709	1.6273138867
1.1259705046	1.6230113634
1.1066718677	1.6177731176
1.0876479681	1.6116113116
1.0689429762	1.6045402519
1.0506003217	1.5965763564
1.032662593	1.5877381159
1.0151714384	1.5780460511
0.9981674694	1.5675226655
0.9816901662	1.5561923925
0.9657777863	1.544081539
0.9504672754	1.5312182243
0.935794182	1.5176323149
0.9217925744	1.5033553547
0.9084949618	1.4884204926
0.8959322192	1.4728624045
0.8841335149	1.4567172138
0.8731262435	1.4400224067
0.8629359619	1.4228167457
0.8535863304	1.4051401794
0.845099057	1.3870337497
0.8374938478	1.3685394965
0.8307883608	1.3497003604
0.8249981648	1.3305600825
0.8201367038	1.3111631032
0.8162152652	1.2915544591
0.813242954	1.2717796778
0.8112266712	1.2518846732
0.8101710984	1.2319156378
0.81	1.22
0.81	1.2
0.81	1.18
0.81	1.16
0.81	1.14
0.81	1.12
0.81	1.1
0.81	1.08
0.81	1.06
0.81	1.04
0.81	1.02
0.81	1
0.81	0.98
0.81	0.96
0.81	0.94
0.81	0.92
0.81	0.9
0.81	0.88
0.81	0.86
0.81	0.84
0.81	0.82
0.81	0.8
0.81	0.78
0.81	0.76
0.81	0.74
0.81	0.72
0.81	0.7
0.81	0.68
0.81	0.66
0.81	0.64
0.81	0.62
0.810481779	0.6000088896
0.8119259976	0.580064195
0.8143293024	0.5602122245
0.8176861133	0.5404990709
0.8219886366	0.5209705046
0.8272268824	0.5016718677
0.8333886884	0.4826479681
0.8404597481	0.4639429762
0.8484236436	0.4456003217
0.8572618841	0.427662593
0.8669539489	0.4101714384
0.8774773345	0.3931674694
0.8888076075	0.3766901662
0.900918461	0.3607777863
0.9137817757	0.3454672754
0.9273676851	0.330794182
0.9416446453	0.3167925744
0.9565795074	0.3034949618
0.9721375955	0.2909322192
0.9882827862	0.2791335149
1.0049775933	0.2681262435
1.0221832543	0.2579359619
1.0398598206	0.2485863304
1.0579662503	0.240099057
1.0764605035	0.2324938478
1.0952996396	0.2257883608
1.1144399175	0.2199981648
1.1338368968	0.2151367038
1.1534455409	0.2112152652
1.1732203222	0.208242954
1.1931153268	0.2062266712
1.2130843622	0.2051710984
1.225	0.205
1.245	0.205
1.265	0.205
1.285	0.205
1.305	0.205
1.325	0.205
1.345	0.205
1.365	0.205
1.385	0.205
1.405	0.205
1.425	0.205
1.445	0.205
1.465	0.205
1.485	0.205
1.505	0.205
1.525	0.205
1.545	0.205
1.565	0.205
1.585	0.205
1.605	0.205
1.625	0.205
1.645	0.205
1.665	0.205
1.685	0.205
1.705	0.205
1.725	0.205
1.745	0.205
1.765	0.205
1.785	0.205
1.805	0.205
1.825	0.205
1.845	0.205
1.865	0.205
1.885	0.205
1.905	0.205
1.925	0.205
1.945	0.205
1.965	0.205
1.985	0.205
2.005	0.205
2.025	0.205
2.045	0.205
2.065	0.205
2.085	0.205
2.105	0.205
2.125	0.205
2.145	0.205
2.165	0.205
2.185	0.205
2.205	0.205
2.225	0.205
2.245	0.205
2.265	0.205
2.285	0.205
2.305	0.205
2.325	0.205
2.345	0.205
2.365	0.205
2.385	0.205
2.405	0.205
2.425	0.205
2.4339116998	0.204785231
2.4428027082	0.2041414228
2.4516523818	0.20307007
2.4604401732	0.2015736603
2.4691456787	0.199655668
2.4777486855	0.1973205464
2.486229219	0.1945737172
2.4945675889	0.1914215581
2.5027444349	0.1878713878
2.5107407718	0.1839314492
2.5185380335	0.1796108903
2.5261181161	0.1749197425
2.5334634199	0.1698688979
2.5405568904	0.1644700837
2.5473820579	0.1587358349
2.5539230755	0.1526794657
2.560164756	0.1463150376
2.5660926074	0.139657328
2.5716928662	0.1327217948
2.5769525295	0.1255245411
2.5818593854	0.1180822777
2.5864020411	0.1104122842
2.5905699491	0.1025323691
2.5943534324	0.0944608282
2.5977437064	0.0862164021
2.6007328994	0.0778182329
2.6033140711	0.0692858199
2.6054812284	0.0606389737
2.6072293396	0.0518977709
2.6085543458	0.043082507
2.6094531707	0.0342136495
2.6099237272	0.0253117903
2.61	0.02
2.61	0
2.61	-0.02
2.61	-0.04
2.61	-0.06
2.61	-0.08
2.61	-0.1
2.61	-0.12
2.61	-0.14
2.61	-0.16
2.61	-0.18
2.61	-0.2
2.61	-0.22
2.61	-0.24
2.61	-0.26
2.61	-0.28
2.61	-0.3
2.61	-0.32
2.61	-0.34
2.61	-0.36
2.61	-0.38
2.61	-0.4
2.61	-0.42
2.61	-0.44
2.61	-0.46
2.61	-0.48
2.61	-0.5
2.61	-0.52
2.61	-0.54
2.61	-0.56
2.61	-0.58
2.61	-0.6
2.61	-0.62
2.61	-0.64
2.61	-0.66
2.61	-0.68
2.61	-0.7
2.61	-0.72
2.61	-0.74
2.61	-0.76
2.61	-0.78
2.61	-0.8
2.61	-0.82
2.61	-0.84
2.61	-0.86
2.61	-0.88
2.61	-0.9
2.61	-0.92
2.61	-0.94
2.61	-0.96
2.61	-0.98
2.61	-1
2.61	-1.02
