x	y
2.55	0.2
2.55	0.18
2.55	0.16
2.55	0.14
2.55	0.12
2.55	0.1
2.55	0.08
2.55	0.06
2.55	0.04
2.55	0.02
2.55	0
2.55	-0.02
2.55	-0.04
2.55	-0.06
2.55	-0.08
2.55	-0.1
2.55	-0.12
2.55	-0.14
2.55	-0.16
2.55	-0.18
2.55	-0.2
2.55	-0.22
2.55	-0.24
2.55	-0.26
2.55	-0.28
2.55	-0.3
2.55	-0.32
2.55	-0.34
2.55	-0.36
2.55	-0.38
2.55	-0.4
2.55	-0.42
2.55	-0.44
2.55	-0.46
2.55	-0.48
2.55	-0.5
2.55	-0.52
2.55	-0.54
2.55	-0.56
2.55	-0.58
2.55	-0.6
2.55	-0.62
2.55	-0.64
2.55	-0.66
2.55	-0.68
2.55	-0.7
2.55	-0.72
2.55	-0.74
2.55	-0.76
2.55	-0.78
2.55	-0.8
2.55	-0.82
2.55	-0.84
2.55	-0.86
2.55	-0.88
2.55	-0.9
2.55	-0.92
2.55	-0.94
2.55	-0.96
2.55	-0.98
2.55	-1
2.55	-1.02
2.55	-1.04
2.55	-1.06
2.55	-1.08
2.55	-1.1
2.55	-1.12
2.55	-1.14
2.55	-1.16
2.55	-1.18
2.55	-1.2
2.5481532511	-1.2234651698
2.5426584774	-1.2463525492
2.5336509786	-1.268098575
2.5213525492	-1.2881677878
2.5060660172	-1.3060660172
2.4881677878	-1.3213525492
2.468098575	-1.3336509786
2.4463525492	-1.3426584774
2.4234651698	-1.3481532511
2.4	-1.35
2.38	-1.35
2.36	-1.35
2.34	-1.35
2.32	-1.35
2.3	-1.35
2.28	-1.35
2.26	-1.35
2.24	-1.35
2.22	-1.35
2.2	-1.35
2.18	-1.35
2.16	-1.35
2.14	-1.35
2.12	-1.35
2.1	-1.35
2.08	-1.35
2.06	-1.35
2.04	-1.35
2.02	-1.35
2	-1.35
1.98	-1.35
1.96	-1.35
1.94	-1.35
1.92	-1.35
1.9	-1.35
1.88	-1.35
1.86	-1.35
1.84	-1.35
1.82	-1.35
1.8	-1.35
1.78	-1.35
1.76	-1.35
1.74	-1.35
1.72	-1.35
1.7	-1.35
1.68	-1.35
1.66	-1.35
1.64	-1.35
1.62	-1.35
1.6	-1.35
1.58	-1.35
1.56	-1.35
1.54	-1.35
1.52	-1.35
1.5	-1.35
1.48	-1.35
1.46	-1.35
1.44	-1.35
1.42	-1.35
1.4	-1.35
1.38	-1.35
1.36	-1.35
1.34	-1.35
1.32	-1.35
1.3	-1.35
1.28	-1.35
1.26	-1.35
1.24	-1.35
1.22	-1.35
1.2	-1.35
1.18	-1.35
1.16	-1.35
1.14	-1.35
1.12	-1.35
1.1	-1.35
1.08	-1.35
1.06	-1.35
1.04	-1.35
1.02	-1.35
1	-1.35
0.98	-1.35
0.96	-1.35
0.94	-1.35
0.92	-1.35
0.9	-1.35
0.88	-1.35
0.86	-1.35
0.84	-1.35
0.82	-1.35
0.8	-1.35
0.78	-1.35
0.76	-1.35
0.74	-1.35
0.72	-1.35
0.7	-1.35
0.68	-1.35
0.66	-1.35
0.64	-1.35
0.62	-1.35
0.6	-1.35
0.58	-1.35
0.56	-1.35
0.54	-1.35
0.52	-1.35
0.5	-1.35
0.48	-1.35
0.46	-1.35
0.44	-1.35
0.42	-1.35
0.4	-1.35
0.38	-1.35
0.36	-1.35
0.34	-1.35
0.32	-1.35
0.3	-1.35
0.28	-1.35
0.26	-1.35
0.24	-1.35
0.22	-1.35
0.2	-1.35
0.18	-1.35
0.16	-1.35
0.14	-1.35
0.12	-1.35
0.1	-1.35
0.08	-1.35
0.06	-1.35
0.04	-1.35
0.02	-1.35
0	-1.35
-0.0234651698	-1.3481532511
-0.0463525492	-1.3426584774
-0.068098575	-1.3336509786
-0.0881677878	-1.3213525492
-0.1060660172	-1.3060660172
-0.1213525492	-1.2881677878
-0.1336509786	-1.268098575
-0.1426584774	-1.2463525492
-0.1481532511	-1.2234651698
-0.15	-1.2
-0.15	-1.18
-0.15	-1.16
-0.15	-1.14
-0.15	-1.12
-0.15	-1.1
-0.15	-1.08
-0.15	-1.06
-0.15	-1.04
-0.15	-1.02
-0.15	-1
-0.15	-0.98
-0.15	-0.96
-0.15	-0.94
-0.15	-0.92
-0.15	-0.9
-0.15	-0.88
-0.15	-0.86
-0.15	-0.84
-0.15	-0.82
-0.15	-0.8
-0.15	-0.78
-0.15	-0.76
-0.15	-0.74
-0.15	-0.72
-0.15	-0.7
-0.15	-0.68
-0.15	-0.66
-0.15	-0.64
-0.15	-0.62
-0.15	-0.6
-0.1506167094	-0.5764488197
-0.1524651471	-0.5529621915
-0.1555402467	-0.5296044907
-0.1598335797	-0.5064397391
-0.1653333782	-0.4835314297
-0.1720245677	-0.4609423525
-0.1798888081	-0.4387344227
-0.1889045441	-0.4169685106
-0.1990470641	-0.3957042751
-0.2102885683	-0.375
-0.2225982444	-0.3549124342
-0.2359423525	-0.3354966365
-0.2502843173	-0.316805824
-0.2655848285	-0.2988912271
-0.2818019485	-0.2818019485
-0.2988912271	-0.2655848285
-0.316805824	-0.2502843173
-0.3354966365	-0.2359423525
-0.3549124342	-0.2225982444
-0.375	-0.2102885683
-0.3957042751	-0.1990470641
-0.4169685106	-0.1889045441
-0.4387344227	-0.1798888081
-0.4609423525	-0.1720245677
-0.4835314297	-0.1653333782
-0.5064397391	-0.1598335797
-0.5296044907	-0.1555402467
-0.5529621915	-0.1524651471
-0.5764488197	-0.1506167094
-0.6	-0.15
-0.62	-0.15
-0.64	-0.15
-0.66	-0.15
-0.68	-0.15
-0.7	-0.15
-0.72	-0.15
-0.74	-0.15
-0.76	-0.15
-0.78	-0.15
-0.8	-0.15
-0.82	-0.15
-0.84	-0.15
-0.86	-0.15
-0.88	-0.15
-0.9	-0.15
-0.92	-0.15
-0.94	-0.15
-0.96	-0.15
-0.98	-0.15
-1	-0.15
-1.02	-0.15
-1.04	-0.15
-1.06	-0.15
-1.08	-0.15
-1.1	-0.15
-1.12	-0.15
