X	Y
-0.16	0.06
-0.16	0.08
-0.16	0.1
-0.16	0.12
-0.16	0.14
-0.16	0.16
-0.16	0.18
-0.16	0.2
-0.16	0.22
-0.16	0.24
-0.16	0.26
-0.16	0.28
-0.16	0.3
-0.16	0.32
-0.16	0.34
-0.16	0.36
-0.16	0.38
-0.16	0.4
-0.16	0.42
-0.16	0.44
-0.16	0.46
-0.16	0.48
-0.16	0.5
-0.16	0.52
-0.16	0.54
-0.16	0.56
-0.16	0.58
-0.16	0.6
-0.16	0.62
-0.160481779	0.63999111
-0.161925998	0.659935805
-0.164329302	0.679787776
-0.167686113	0.699500929
-0.171988637	0.719029495
-0.177226882	0.738328132
-0.183388688	0.757352032
-0.190459748	0.776057024
-0.198423644	0.794399678
-0.207261884	0.812337407
-0.216953949	0.829828562
-0.227477335	0.846832531
-0.238807608	0.863309834
-0.250918461	0.879222214
-0.263781776	0.894532725
-0.277367685	0.909205818
-0.291644645	0.923207426
-0.306579507	0.936505038
-0.322137596	0.949067781
-0.338282786	0.960866485
-0.354977593	0.971873757
-0.372183254	0.982064038
-0.389859821	0.99141367
-0.40796625	0.999900943
-0.426460504	1.007506152
-0.44529964	1.014211639
-0.464439918	1.020001835
-0.483836897	1.024863296
-0.503445541	1.028784735
-0.523220322	1.031757046
-0.543115327	1.033773329
-0.563084362	1.034828902
-0.575	1.035
-0.595	1.035
-0.615	1.035
-0.635	1.035
-0.655	1.035
-0.675	1.035
-0.695	1.035
-0.715	1.035
-0.735	1.035
-0.755	1.035
-0.775	1.035
-0.795	1.035
-0.815	1.035
-0.835	1.035
-0.855	1.035
-0.875	1.035
-0.895	1.035
-0.915	1.035
-0.935	1.035
-0.955	1.035
-0.975	1.035
-0.995	1.035
-1.015	1.035
-1.035	1.035
-1.055	1.035
-1.075	1.035
-1.095	1.035
-1.115	1.035
-1.135	1.035
-1.155	1.035
-1.175	1.035
-1.195	1.035
-1.215	1.035
-1.235	1.035
-1.255	1.035
-1.275	1.035
-1.295	1.035
-1.315	1.035
-1.335	1.035
-1.355	1.035
-1.375	1.035
-1.395	1.035
-1.415	1.035
-1.435	1.035
-1.455	1.035
-1.475	1.035
-1.495	1.035
-1.515	1.035
-1.535	1.035
-1.555	1.035
-1.575	1.035
-1.595	1.035
-1.615	1.035
-1.635	1.035
-1.655	1.035
-1.675	1.035
-1.695	1.035
-1.715	1.035
-1.735	1.035
-1.755	1.035
-1.775	1.035
-1.7839117	1.035214769
-1.792802708	1.035858577
-1.801652382	1.03692993
-1.810440173	1.03842634
-1.819145679	1.040344332
-1.827748686	1.042679454
-1.836229219	1.045426283
-1.844567589	1.048578442
-1.852744435	1.052128612
-1.860740772	1.056068551
-1.868538034	1.06038911
-1.876118116	1.065080258
-1.88346342	1.070131102
-1.89055689	1.075529916
-1.897382058	1.081264165
-1.903923076	1.087320534
-1.910164756	1.093684962
-1.916092607	1.100342672
-1.921692866	1.107278205
-1.92695253	1.114475459
-1.931859385	1.121917722
-1.936402041	1.129587716
-1.940569949	1.137467631
-1.944353432	1.145539172
-1.947743706	1.153783598
-1.950732899	1.162181767
-1.953314071	1.17071418
-1.955481228	1.179361026
-1.95722934	1.188102229
-1.958554346	1.196917493
-1.959453171	1.205786351
-1.959923727	1.21468821
-1.96	1.22
-1.960481779	1.23999111
-1.961925998	1.259935805
-1.964329302	1.279787776
-1.967686113	1.299500929
-1.971988637	1.319029495
-1.977226882	1.338328132
-1.983388688	1.357352032
-1.990459748	1.376057024
-1.998423644	1.394399678
-2.007261884	1.412337407
-2.016953949	1.429828562
-2.027477335	1.446832531
-2.038807608	1.463309834
-2.050918461	1.479222214
-2.063781776	1.494532725
-2.077367685	1.509205818
-2.091644645	1.523207426
-2.106579507	1.536505038
-2.122137596	1.549067781
-2.138282786	1.560866485
-2.154977593	1.571873757
-2.172183254	1.582064038
-2.189859821	1.59141367
-2.20796625	1.599900943
-2.226460504	1.607506152
-2.24529964	1.614211639
-2.264439918	1.620001835
-2.283836897	1.624863296
-2.303445541	1.628784735
-2.323220322	1.631757046
-2.343115327	1.633773329
-2.363084362	1.634828902
-2.375	1.635
-2.39499111	1.634518221
-2.414935805	1.633074002
-2.434787776	1.630670698
-2.454500929	1.627313887
-2.474029495	1.623011363
-2.493328132	1.617773118
-2.512352032	1.611611312
-2.531057024	1.604540252
-2.549399678	1.596576356
-2.567337407	1.587738116
-2.584828562	1.578046051
-2.601832531	1.567522666
-2.618309834	1.556192393
-2.634222214	1.544081539
-2.649532725	1.531218224
-2.664205818	1.517632315
-2.678207426	1.503355355
-2.691505038	1.488420493
-2.704067781	1.472862405
-2.715866485	1.456717214
-2.726873757	1.440022407
-2.737064038	1.422816746
-2.74641367	1.405140179
-2.754900943	1.38703375
-2.762506152	1.368539497
-2.769211639	1.34970036
-2.775001835	1.330560083
-2.779863296	1.311163103
-2.783784735	1.291554459
-2.786757046	1.271779678
-2.788773329	1.251884673
-2.789828902	1.231915638
-2.79	1.22
-2.79	1.2
-2.79	1.18
-2.79	1.16
-2.79	1.14
-2.79	1.12
-2.79	1.1
-2.79	1.08
-2.79	1.06
-2.79	1.04
-2.79	1.02
-2.79	1
-2.79	0.98
-2.79	0.96
-2.79	0.94
-2.79	0.92
-2.79	0.9
-2.79	0.88
-2.79	0.86
-2.79	0.84
-2.79	0.82
-2.79	0.8
-2.79	0.78
-2.79	0.76
-2.79	0.74
-2.79	0.72
-2.79	0.7
-2.79	0.68
-2.79	0.66
-2.79	0.64
-2.79	0.62
-2.789518221	0.60000889
-2.788074002	0.580064195
-2.785670698	0.560212225
-2.782313887	0.540499071
-2.778011363	0.520970505
-2.772773118	0.501671868
-2.766611312	0.482647968
-2.759540252	0.463942976
-2.751576356	0.445600322
-2.742738116	0.427662593
-2.733046051	0.410171438
-2.722522666	0.393167469
-2.711192393	0.376690166
-2.699081539	0.360777786
-2.686218224	0.345467275
-2.672632315	0.330794182
-2.658355355	0.316792574
-2.643420493	0.303494962
-2.627862405	0.290932219
-2.611717214	0.279133515
-2.595022407	0.268126244
-2.577816746	0.257935962
-2.560140179	0.24858633
-2.54203375	0.240099057
-2.523539497	0.232493848
-2.50470036	0.225788361
-2.485560083	0.219998165
-2.466163103	0.215136704
-2.446554459	0.211215265
-2.426779678	0.208242954
-2.406884673	0.206226671
-2.386915638	0.205171098
-2.375	0.205
-2.355	0.205
-2.335	0.205
-2.315	0.205
-2.295	0.205
-2.275	0.205
-2.255	0.205
-2.235	0.205
-2.215	0.205
-2.195	0.205
-2.175	0.205
-2.155	0.205
-2.135	0.205
-2.115	0.205
-2.095	0.205
-2.075	0.205
-2.055	0.205
-2.035	0.205
-2.015	0.205
-1.995	0.205
-1.975	0.205
-1.955	0.205
-1.935	0.205
-1.915	0.205
-1.895	0.205
-1.875	0.205
-1.855	0.205
-1.835	0.205
-1.815	0.205
-1.795	0.205
-1.775	0.205
-1.7660883	0.204785231
-1.757197292	0.204141423
-1.748347618	0.20307007
-1.739559827	0.20157366
-1.730854321	0.199655668
-1.722251315	0.197320546
-1.713770781	0.194573717
-1.705432411	0.191421558
-1.697255565	0.187871388
-1.689259228	0.183931449
-1.681461967	0.17961089
-1.673881884	0.174919743
-1.66653658	0.169868898
-1.65944311	0.164470084
-1.652617942	0.158735835
-1.646076925	0.152679466
-1.639835244	0.146315038
-1.633907393	0.139657328
-1.628307134	0.132721795
-1.623047471	0.125524541
-1.618140615	0.118082278
-1.613597959	0.110412284
-1.609430051	0.102532369
-1.605646568	0.094460828
-1.602256294	0.086216402
-1.599267101	0.077818233
-1.596685929	0.06928582
-1.594518772	0.060638974
-1.59277066	0.051897771
-1.591445654	0.043082507
-1.590546829	0.03421365
-1.590076273	0.02531179
-1.59	0.02
-1.589518221	8.8896E-06
-1.588074002	-0.019935805
-1.585670698	-0.039787776
-1.582313887	-0.059500929
-1.578011363	-0.079029495
-1.572773118	-0.098328132
-1.566611312	-0.117352032
-1.559540252	-0.136057024
-1.551576356	-0.154399678
-1.542738116	-0.172337407
-1.533046051	-0.189828562
-1.522522666	-0.206832531
-1.511192393	-0.223309834
-1.499081539	-0.239222214
-1.486218224	-0.254532725
-1.472632315	-0.269205818
-1.458355355	-0.283207426
-1.443420493	-0.296505038
-1.427862405	-0.309067781
-1.411717214	-0.320866485
-1.395022407	-0.331873757
-1.377816746	-0.342064038
-1.360140179	-0.35141367
-1.34203375	-0.359900943
-1.323539497	-0.367506152
-1.30470036	-0.374211639
-1.285560083	-0.380001835
-1.266163103	-0.384863296
-1.246554459	-0.388784735
-1.226779678	-0.391757046
-1.206884673	-0.393773329
-1.186915638	-0.394828902
-1.175	-0.395
-1.155	-0.395
-1.135	-0.395
-1.115	-0.395
-1.095	-0.395
-1.075	-0.395
-1.055	-0.395
-1.035	-0.395
-1.015	-0.395
-0.995	-0.395
-0.975	-0.395
-0.955	-0.395
-0.935	-0.395
-0.915	-0.395
-0.895	-0.395
-0.875	-0.395
-0.855	-0.395
-0.835	-0.395
-0.815	-0.395
-0.795	-0.395
-0.775	-0.395
-0.755	-0.395
-0.735	-0.395
-0.715	-0.395
-0.695	-0.395
-0.675	-0.395
-0.655	-0.395
-0.635	-0.395
-0.615	-0.395
-0.595	-0.395
-0.575	-0.395
-0.555	-0.395
-0.535	-0.395
-0.515	-0.395
-0.495	-0.395
-0.475	-0.395
-0.455	-0.395
-0.435	-0.395
-0.415	-0.395
-0.395	-0.395
-0.375	-0.395
-0.355	-0.395
-0.335	-0.395
-0.315	-0.395
-0.295	-0.395
-0.275	-0.395
-0.255	-0.395
-0.235	-0.395
-0.215	-0.395
-0.195	-0.395
-0.175	-0.395
-0.155	-0.395
-0.135	-0.395
-0.115	-0.395
-0.095	-0.395
-0.075	-0.395
-0.055	-0.395
-0.035	-0.395
-0.015	-0.395
0.005	-0.395
0.025	-0.395
0.045	-0.395
0.065	-0.395
0.085	-0.395
0.105	-0.395
0.125	-0.395
0.145	-0.395
0.165	-0.395
0.185	-0.395
0.205	-0.395
0.225	-0.395
0.245	-0.395
0.265	-0.395
0.285	-0.395
0.305	-0.395
0.325	-0.395
0.345	-0.395
0.365	-0.395
0.385	-0.395
0.405	-0.395
0.425	-0.395
0.445	-0.395
0.465	-0.395
0.485	-0.395
0.505	-0.395
0.525	-0.395
0.545	-0.395
0.565	-0.395
0.585	-0.395
0.605	-0.395
0.625	-0.395
0.645	-0.395
0.665	-0.395
0.685	-0.395
0.705	-0.395
0.725	-0.395
0.745	-0.395
0.765	-0.395
0.785	-0.395
0.805	-0.395
0.825	-0.395
0.845	-0.395
0.865	-0.395
0.885	-0.395
0.905	-0.395
0.925	-0.395
0.945	-0.395
0.965	-0.395
0.985	-0.395
1.005	-0.395
1.025	-0.395
1.045	-0.395
1.065	-0.395
1.085	-0.395
1.105	-0.395
1.125	-0.395
1.145	-0.395
1.165	-0.395
1.185	-0.395
1.205	-0.395
1.225	-0.395
1.2339117	-0.395214769
1.242802708	-0.395858577
1.251652382	-0.39692993
1.260440173	-0.39842634
1.269145679	-0.400344332
1.277748686	-0.402679454
1.286229219	-0.405426283
1.294567589	-0.408578442
1.302744435	-0.412128612
1.310740772	-0.416068551
1.318538034	-0.42038911
1.326118116	-0.425080258
1.33346342	-0.430131102
1.34055689	-0.435529916
1.347382058	-0.441264165
1.353923076	-0.447320534
1.360164756	-0.453684962
1.366092607	-0.460342672
1.371692866	-0.467278205
1.37695253	-0.474475459
1.381859385	-0.481917722
1.386402041	-0.489587716
1.390569949	-0.497467631
1.394353432	-0.505539172
1.397743706	-0.513783598
1.400732899	-0.522181767
1.403314071	-0.53071418
1.405481228	-0.539361026
1.40722934	-0.548102229
1.408554346	-0.556917493
1.409453171	-0.565786351
1.409923727	-0.57468821
1.41	-0.58
1.41	-0.6
1.41	-0.62
1.41	-0.64
1.41	-0.66
1.41	-0.68
1.41	-0.7
1.41	-0.72
1.41	-0.74
1.41	-0.76
1.41	-0.78
1.41	-0.8
1.41	-0.82
1.41	-0.84
1.41	-0.86
1.41	-0.88
1.41	-0.9
1.41	-0.92
1.41	-0.94
1.41	-0.96
1.41	-0.98
1.41	-1
1.41	-1.02
1.41	-1.04
1.41	-1.06
1.41	-1.08
1.41	-1.1
1.41	-1.12
1.41	-1.14
1.41	-1.16
1.41	-1.18
1.410481779	-1.19999111
1.411925998	-1.219935805
1.414329302	-1.239787776
1.417686113	-1.259500929
1.421988637	-1.279029495
1.427226882	-1.298328132
1.433388688	-1.317352032
1.440459748	-1.336057024
1.448423644	-1.354399678
1.457261884	-1.372337407
1.466953949	-1.389828562
1.477477335	-1.406832531
1.488807608	-1.423309834
1.500918461	-1.439222214
1.513781776	-1.454532725
1.527367685	-1.469205818
1.541644645	-1.483207426
1.556579507	-1.496505038
1.572137596	-1.509067781
1.588282786	-1.520866485
1.604977593	-1.531873757
1.622183254	-1.542064038
1.639859821	-1.55141367
1.65796625	-1.559900943
1.676460504	-1.567506152
1.69529964	-1.574211639
1.714439918	-1.580001835
1.733836897	-1.584863296
1.753445541	-1.588784735
1.773220322	-1.591757046
1.793115327	-1.593773329
1.813084362	-1.594828902
1.825	-1.595
1.845	-1.595
1.865	-1.595
1.885	-1.595
1.905	-1.595
1.925	-1.595
1.945	-1.595
1.965	-1.595
1.985	-1.595
2.005	-1.595
2.025	-1.595
2.045	-1.595
2.065	-1.595
2.085	-1.595
2.105	-1.595
2.125	-1.595
2.145	-1.595
2.165	-1.595
2.185	-1.595
2.205	-1.595
2.225	-1.595
2.245	-1.595
2.265	-1.595
2.285	-1.595
2.305	-1.595
2.325	-1.595
2.345	-1.595
2.365	-1.595
2.385	-1.595
2.405	-1.595
2.425	-1.595
2.44499111	-1.594518221
2.464935805	-1.593074002
2.484787776	-1.590670698
2.504500929	-1.587313887
2.524029495	-1.583011363
2.543328132	-1.577773118
2.562352032	-1.571611312
2.581057024	-1.564540252
2.599399678	-1.556576356
2.617337407	-1.547738116
2.634828562	-1.538046051
2.651832531	-1.527522666
