X	Y
1.053140615	2.911917722
1.048597959	2.919587716
1.044430051	2.927467631
1.040646568	2.935539172
1.037256294	2.943783598
1.034267101	2.952181767
1.031685929	2.96071418
1.029518772	2.969361026
1.02777066	2.978102229
1.026445654	2.986917493
1.025546829	2.995786351
1.025076273	3.00468821
1.025	3.01
1.024518221	3.02999111
1.023074002	3.049935805
1.020670698	3.069787776
1.017313887	3.089500929
1.013011363	3.109029495
1.007773118	3.128328132
1.001611312	3.147352032
0.994540252	3.166057024
0.986576356	3.184399678
0.977738116	3.202337407
0.968046051	3.219828562
0.957522666	3.236832531
0.946192393	3.253309834
0.934081539	3.269222214
0.921218224	3.284532725
0.907632315	3.299205818
0.893355355	3.313207426
0.878420493	3.326505038
0.862862405	3.339067781
0.846717214	3.350866485
0.830022407	3.361873757
0.812816746	3.372064038
0.795140179	3.38141367
0.77703375	3.389900943
0.758539497	3.397506152
0.73970036	3.404211639
0.720560083	3.410001835
0.701163103	3.414863296
0.681554459	3.418784735
0.661779678	3.421757046
0.641884673	3.423773329
0.621915638	3.424828902
0.61	3.425
0.59000889	3.424518221
0.570064195	3.423074002
0.550212225	3.420670698
0.530499071	3.417313887
0.510970505	3.413011363
0.491671868	3.407773118
0.472647968	3.401611312
0.453942976	3.394540252
0.435600322	3.386576356
0.417662593	3.377738116
0.400171438	3.368046051
0.383167469	3.357522666
0.366690166	3.346192393
0.350777786	3.334081539
0.335467275	3.321218224
0.320794182	3.307632315
0.306792574	3.293355355
0.293494962	3.278420493
0.280932219	3.262862405
0.269133515	3.246717214
0.258126244	3.230022407
0.247935962	3.212816746
0.23858633	3.195140179
0.230099057	3.17703375
0.222493848	3.158539497
0.215788361	3.13970036
0.209998165	3.120560083
0.205136704	3.101163103
0.201215265	3.081554459
0.198242954	3.061779678
0.196226671	3.041884673
0.195171098	3.021915638
0.195	3.01
0.195	2.99
0.195	2.97
0.195	2.95
0.195	2.93
0.195	2.91
0.195	2.89
0.195	2.87
0.195	2.85
0.195	2.83
0.195	2.81
0.195	2.79
0.195	2.77
0.195	2.75
0.195	2.73
0.195	2.71
0.195	2.69
0.195	2.67
0.195	2.65
0.195	2.63
0.195	2.61
0.195	2.59
0.195	2.57
0.195	2.55
0.195	2.53
0.195	2.51
0.195	2.49
0.195	2.47
0.195	2.45
0.195	2.43
0.195	2.41
0.195481779	2.39000889
0.196925998	2.370064195
0.199329302	2.350212225
0.202686113	2.330499071
0.206988637	2.310970505
0.212226882	2.291671868
0.218388688	2.272647968
0.225459748	2.253942976
0.233423644	2.235600322
0.242261884	2.217662593
0.251953949	2.200171438
0.262477335	2.183167469
0.273807608	2.166690166
0.285918461	2.150777786
0.298781776	2.135467275
0.312367685	2.120794182
0.326644645	2.106792574
